sentiment,random_seed,accuracy
admiration,1,0.9010667204856871
amusement,1,0.9385804533958436
anger,1,0.8818796873092651
annoyance,1,0.7062554955482483
approval,1,0.732346773147583
caring,1,0.891406238079071
confusion,1,0.703125
curiosity,1,0.8967447876930237
desire,1,0.7792207598686218
disappointment,1,0.661495566368103
disapproval,1,0.6623263955116272
disgust,1,0.7216494679450989
embarrassment,1,0.5714285969734192
excitement,1,0.7395833134651184
fear,1,0.550000011920929
gratitude,1,0.961192786693573
grief,1,0.6538461446762085
joy,1,0.7349076271057129
love,1,0.946068525314331
nervousness,1,0.5714285969734192
optimism,1,0.8329957723617554
pride,1,0.7666666507720947
realization,1,0.6102362275123596
relief,1,0.6666666865348816
remorse,1,0.6029411554336548
sadness,1,0.8346353769302368
surprise,1,0.748046875
admiration,3,0.898587703704834
amusement,3,0.9573914408683776
anger,3,0.8529034852981567
annoyance,3,0.7432956695556641
approval,3,0.754957914352417
caring,3,0.9192187786102296
confusion,3,0.818359375
curiosity,3,0.9057291746139526
desire,3,0.8961039185523987
disappointment,3,0.7365513443946838
disapproval,3,0.7907986044883728
disgust,3,0.8608247637748718
embarrassment,3,0.8285714387893677
excitement,3,0.8072916865348816
fear,3,0.9166666865348816
gratitude,3,0.9618566036224364
grief,3,0.9230769276618958
joy,3,0.8673650622367859
love,3,0.9641506671905518
nervousness,3,0.5952380895614624
optimism,3,0.8463541269302368
pride,3,0.800000011920929
realization,3,0.7047244310379028
relief,3,0.6388888955116272
remorse,3,0.9485294222831726
sadness,3,0.8374999761581421
surprise,3,0.9140625
admiration,5,0.8955078125
amusement,5,0.9502992033958436
anger,5,0.8504547476768494
annoyance,5,0.7940215468406677
approval,5,0.7857571840286255
caring,5,0.7999218702316284
confusion,5,0.8268228769302368
curiosity,5,0.903515636920929
desire,5,0.8831169009208679
disappointment,5,0.7607142925262451
disapproval,5,0.7921006679534912
disgust,5,0.8917526006698608
embarrassment,5,0.8857142925262451
excitement,5,0.8229166865348816
fear,5,0.9166666865348816
gratitude,5,0.9598906636238098
grief,5,0.9230769276618958
joy,5,0.8615056872367859
love,5,0.9681829214096068
nervousness,5,0.6904761791229248
optimism,5,0.8440876007080078
pride,5,0.8666666746139526
realization,5,0.712598443031311
relief,5,0.7222222089767456
remorse,5,0.963235318660736
sadness,5,0.8296874761581421
surprise,5,0.806640625
admiration,7,0.8909254670143127
amusement,7,0.9273603558540344
anger,7,0.8761951923370361
annoyance,7,0.7777315974235535
approval,7,0.7991285920143127
caring,7,0.8335937261581421
confusion,7,0.861328125
curiosity,7,0.9161458015441896
desire,7,0.8311688303947449
disappointment,7,0.7599888443946838
disapproval,7,0.7890625
disgust,7,0.9123711585998536
embarrassment,7,0.8142856955528259
excitement,7,0.859375
fear,7,0.8999999761581421
gratitude,7,0.958256721496582
grief,7,0.9230769276618958
joy,7,0.892578125
love,7,0.9601184129714966
nervousness,7,0.8095238208770752
optimism,7,0.826702356338501
pride,7,0.9666666388511658
realization,7,0.7204724550247192
relief,7,0.6388888955116272
remorse,7,0.963235318660736
sadness,7,0.9100260734558104
surprise,7,0.923828125
admiration,9,0.892653226852417
amusement,9,0.9383587837219238
anger,9,0.8603953123092651
annoyance,9,0.7751274108886719
approval,9,0.7663761973381042
caring,9,0.8501562476158142
confusion,9,0.8391927480697632
curiosity,9,0.930859386920929
desire,9,0.8961039185523987
disappointment,9,0.7378906011581421
disapproval,9,0.79296875
disgust,9,0.8453608155250549
embarrassment,9,0.8999999761581421
excitement,9,0.8541666865348816
fear,9,0.8722222447395325
gratitude,9,0.963490664958954
grief,9,0.9230769276618958
joy,9,0.8947088122367859
love,9,0.9519909620285034
nervousness,9,0.6904761791229248
optimism,9,0.8687789440155029
pride,9,0.8999999761581421
realization,9,0.712598443031311
relief,9,0.8611111044883728
remorse,9,0.9485294222831726
sadness,9,0.8688802123069763
surprise,9,0.76171875
admiration,11,0.90625
amusement,11,0.9497174620628356
anger,11,0.8586170673370361
annoyance,11,0.7775930762290955
approval,11,0.765700101852417
caring,11,0.8694531321525574
confusion,11,0.8684896230697632
curiosity,11,0.9006510376930237
desire,11,0.8961039185523987
disappointment,11,0.7731026411056519
disapproval,11,0.8049768805503845
disgust,11,0.92268043756485
embarrassment,11,0.8999999761581421
excitement,11,0.828125
fear,11,0.9222221970558168
gratitude,11,0.9651246070861816
grief,11,0.9230769276618958
joy,11,0.9035866260528564
love,11,0.964213728904724
nervousness,11,0.8333333134651184
optimism,11,0.8358410596847534
pride,11,0.800000011920929
realization,11,0.7559055089950562
relief,11,0.6944444179534912
remorse,11,0.9411764740943908
sadness,11,0.8257812261581421
surprise,11,0.900390625
admiration,13,0.9038461446762084
amusement,13,0.9363364577293396
anger,13,0.8426131010055542
annoyance,13,0.780418872833252
approval,13,0.7914663553237915
caring,13,0.7777343988418579
confusion,13,0.8795572519302368
curiosity,13,0.920312523841858
desire,13,0.8701298832893372
disappointment,13,0.7529017925262451
disapproval,13,0.7890625
disgust,13,0.9020618796348572
embarrassment,13,0.8714285492897034
excitement,13,0.8385416865348816
fear,13,0.9166666865348816
gratitude,13,0.9670904278755188
grief,13,0.8846153616905212
joy,13,0.888671875
love,13,0.960181474685669
nervousness,13,0.8333333134651184
